order,significant,cryptic,skiptic
M323K_WT_1+M323K_WT_2+M323K_WT_3+M323K_WT_4,920,2,47
M323K_HOM_1+M323K_HOM_2+M323K_HOM_3+M323K_HOM_4,920,4,9
M323K_HOM_3+M323K_HOM_4+M323K_WT_3+M323K_WT_4,51,0,0
M323K_HOM_2+M323K_HOM_3+M323K_HOM_4+M323K_WT_3,38,0,0
M323K_HOM_1+M323K_WT_1+M323K_WT_2+M323K_WT_4,38,0,0
M323K_HOM_1+M323K_HOM_2+M323K_HOM_4+M323K_WT_4,25,0,1
M323K_HOM_3+M323K_WT_1+M323K_WT_2+M323K_WT_3,25,0,0
M323K_HOM_1+M323K_HOM_3+M323K_HOM_4+M323K_WT_4,25,0,2
M323K_HOM_2+M323K_WT_1+M323K_WT_2+M323K_WT_3,25,1,0
M323K_HOM_1+M323K_HOM_2+M323K_HOM_3+M323K_WT_1,24,0,0
M323K_HOM_4+M323K_WT_2+M323K_WT_3+M323K_WT_4,24,0,0
M323K_HOM_2+M323K_WT_1+M323K_WT_2+M323K_WT_4,24,1,0
M323K_HOM_1+M323K_HOM_3+M323K_HOM_4+M323K_WT_3,24,0,0
M323K_HOM_3+M323K_HOM_4+M323K_WT_1+M323K_WT_4,21,0,1
M323K_HOM_1+M323K_WT_1+M323K_WT_2+M323K_WT_3,19,0,0
M323K_HOM_2+M323K_HOM_3+M323K_HOM_4+M323K_WT_4,19,1,0
M323K_HOM_2+M323K_HOM_4+M323K_WT_2+M323K_WT_4,18,0,0
M323K_HOM_1+M323K_HOM_2+M323K_HOM_4+M323K_WT_2,17,0,0
M323K_HOM_1+M323K_HOM_3+M323K_WT_3+M323K_WT_4,16,0,0
M323K_HOM_2+M323K_HOM_4+M323K_WT_1+M323K_WT_2,16,0,0
M323K_HOM_1+M323K_HOM_2+M323K_HOM_3+M323K_WT_3,15,0,0
M323K_HOM_4+M323K_WT_1+M323K_WT_2+M323K_WT_4,15,0,0
M323K_HOM_1+M323K_HOM_3+M323K_WT_2+M323K_WT_4,14,0,1
M323K_HOM_2+M323K_HOM_3+M323K_HOM_4+M323K_WT_1,12,0,0
M323K_HOM_1+M323K_HOM_4+M323K_WT_1+M323K_WT_4,11,0,0
M323K_HOM_2+M323K_HOM_3+M323K_WT_2+M323K_WT_3,11,0,0
M323K_HOM_1+M323K_HOM_2+M323K_WT_1+M323K_WT_3,11,1,0
M323K_HOM_3+M323K_HOM_4+M323K_WT_2+M323K_WT_4,11,0,0
M323K_HOM_2+M323K_HOM_4+M323K_WT_3+M323K_WT_4,11,0,0
M323K_HOM_2+M323K_HOM_3+M323K_WT_1+M323K_WT_3,9,0,0
M323K_HOM_1+M323K_HOM_4+M323K_WT_2+M323K_WT_4,9,0,0
M323K_HOM_1+M323K_HOM_2+M323K_WT_3+M323K_WT_4,9,0,0
M323K_HOM_3+M323K_HOM_4+M323K_WT_1+M323K_WT_2,9,0,0
M323K_HOM_2+M323K_HOM_3+M323K_WT_1+M323K_WT_4,9,0,0
M323K_HOM_1+M323K_HOM_2+M323K_HOM_3+M323K_WT_4,7,0,0
M323K_HOM_1+M323K_HOM_3+M323K_HOM_4+M323K_WT_2,7,0,0
M323K_HOM_4+M323K_WT_1+M323K_WT_2+M323K_WT_3,7,0,0
M323K_HOM_3+M323K_WT_2+M323K_WT_3+M323K_WT_4,7,0,0
M323K_HOM_2+M323K_HOM_3+M323K_WT_3+M323K_WT_4,7,0,0
M323K_HOM_1+M323K_HOM_4+M323K_WT_1+M323K_WT_2,7,0,0
M323K_HOM_3+M323K_HOM_4+M323K_WT_2+M323K_WT_3,6,0,0
M323K_HOM_1+M323K_HOM_2+M323K_WT_1+M323K_WT_4,6,0,0
M323K_HOM_1+M323K_HOM_3+M323K_HOM_4+M323K_WT_1,5,0,0
M323K_HOM_2+M323K_WT_2+M323K_WT_3+M323K_WT_4,5,0,0
M323K_HOM_2+M323K_HOM_3+M323K_WT_1+M323K_WT_2,4,0,0
M323K_HOM_1+M323K_HOM_4+M323K_WT_3+M323K_WT_4,4,0,0
M323K_HOM_1+M323K_HOM_2+M323K_WT_2+M323K_WT_4,4,0,1
M323K_HOM_2+M323K_HOM_3+M323K_WT_2+M323K_WT_4,3,0,0
M323K_HOM_3+M323K_WT_1+M323K_WT_2+M323K_WT_4,2,0,0
M323K_HOM_2+M323K_HOM_4+M323K_WT_1+M323K_WT_4,2,0,0
M323K_HOM_1+M323K_HOM_2+M323K_HOM_3+M323K_WT_2,1,0,0
M323K_HOM_4+M323K_WT_1+M323K_WT_3+M323K_WT_4,1,0,0
